learning style,gpa,student semester,major,previous courses,course types,course subjects,subjects of interest,extracurricular activities,target,model
-0.00010467978876318849,-0.0026792344880317894,-0.007639739137087537,-0.0008099742475769704,-0.00355493188377581,-0.00183111951965636,0.014999505961636206,0.00022651380900237347,0.002013636813205275,career aspirations,DecisionTree
-5.53511564137293e-05,-0.0001422739494922063,-0.00019280017218715776,0.0001687326147341378,8.963295630224387e-05,-3.690106908524413e-05,0.00019159765418917245,5.1922787218015806e-05,6.371785368438409e-05,career aspirations,DecisionTree
6.146279122785326e-05,-0.0001077860752771766,-0.00042173004082898845,-7.970184514258603e-05,6.515232648063042e-05,-8.549455861966624e-05,-0.0002378879337801017,-0.00013750949897309674,0.0001276323538697422,career aspirations,DecisionTree
-0.0005280723709537661,3.748101783367917e-05,-0.0003406015406014172,-0.00016194927358053444,-0.001627997918998378,-0.0007602647380905979,0.0017744779953147145,-0.00012902751268247306,-0.0005269381392723682,career aspirations,DecisionTree
6.039980001273346e-05,-0.00014031822148268414,9.770363955216563e-05,-0.00010580637265615841,-2.0692529676764422e-05,-0.00017185750187959374,-0.00020543899105589244,-9.837061313189955e-05,-0.00012854169070977638,career aspirations,DecisionTree
-7.778642422252979e-06,-0.0005783155035162851,0.0005732462542661527,0.004399109879953467,0.002279370322189804,0.0015529722015313282,-0.0004392117205115033,0.0011997504046071027,0.00045163432285501623,career aspirations,DecisionTree
8.970750777592307e-06,-2.6388444036591657e-05,7.08959455505872e-05,-7.513633178200194e-05,-1.1235382759123877e-05,8.104992486856695e-06,8.890539364722798e-05,-0.00012387870532059363,-4.961069963022173e-05,career aspirations,DecisionTree
0.00012509789182523867,0.00010595684908797705,0.00025234087722639123,-4.459411565516282e-05,0.00012543761858186853,-1.9224773816866864e-05,-9.735534913909988e-05,-6.723475439805999e-05,2.9053275239804887e-05,career aspirations,DecisionTree
2.2483883043763408e-05,0.00017512988966393632,-0.0007112955280793513,0.00025089085140064056,6.756168074435257e-05,4.815922499949232e-05,0.00027064333063816826,5.456824933212114e-05,5.113593720991348e-05,career aspirations,DecisionTree
4.4881464603546735e-05,7.666015945452643e-05,-0.00013082217747698615,-7.6009481194835e-05,-7.349105219644188e-05,-0.00019784476233252374,-0.0001243114066471406,0.0002746095243701034,-0.00015649474960215053,career aspirations,DecisionTree
-0.00010449068259762688,-0.000874237556619389,-0.0020932544604547604,0.0009201454760560052,-0.0018220626077139184,-0.0007103232036004827,-0.0006461151045777213,5.7023420431382606e-05,0.000706912238030763,career aspirations,DecisionTree
1.4950243696134116e-05,0.00020069093647787068,-0.0005986703127920035,0.0002427698523231261,7.578377286318478e-05,3.511510214827187e-05,0.00017939727803327658,5.041486802086059e-05,3.151466707185027e-05,career aspirations,DecisionTree
-8.085012601682076e-06,-2.2721984098594527e-05,-0.0005315543291014572,-0.0013686423845839127,-0.00028603533368653237,-0.00011779984347773213,-0.0006041209389632905,-0.00038048719208618294,0.00033635453754692063,career aspirations,DecisionTree
3.825636148585317e-05,0.0005174997376759059,0.0003249898120580806,0.0006918451113054362,0.00018434107316071832,0.00020620496070200052,0.00018807980158973175,0.0004374299965400774,0.000329130664433853,career aspirations,DecisionTree
-7.772258858518347e-05,0.0045912537646541915,0.000987162785326467,0.001088399171699684,0.0019861243025882398,-0.0017101405263556498,0.001051516086701983,0.0012506708562286866,0.0016729736666929776,career aspirations,DecisionTree
0.00010901267693765264,0.0004027530453407546,-0.0012550307531463314,-0.0004819245262843819,-0.0006016180202697594,-0.0006436451949077811,-0.0018904810437514366,0.004820209251702023,-0.0019826979166698904,career aspirations,DecisionTree
-4.7662759965348374e-05,-8.012145369529527e-05,0.00013221901137253837,-0.0002012977725274825,2.8446436369220186e-05,0.00018884080438751787,0.00013973073751273656,-0.00011863601495377474,-3.634146954039808e-05,career aspirations,DecisionTree
-2.7741840352550883e-05,1.0303191999164966e-05,-0.001873266957908801,0.00027395700856191275,-0.0013226647327863983,-0.0001380002687210738,-0.001921921321646146,-0.00136663927301219,-0.00011540828717858688,career aspirations,DecisionTree
7.191606660456422e-05,5.440784592308141e-05,-0.00026521983130954743,0.0001316773630870926,-4.871619823194941e-05,3.8749579627343855e-05,0.00011763447546148302,3.8111884836702066e-05,3.201633294763402e-05,career aspirations,DecisionTree
-5.8436163485547136e-05,-0.00013912690423280015,-3.479567536926441e-05,0.00023115529910756652,5.8761278964820044e-05,0.00010103144756517894,0.0003569642721861637,4.7656979190708225e-05,1.5266985018253635e-05,career aspirations,DecisionTree
0.00032506140446191933,0.00041603813854527343,0.0034601245361830265,0.0003324717354641927,-0.0005233201516419512,-0.0016586457565165886,-0.009713081772597786,-0.0006131795789413219,-0.0007371910360020003,career aspirations,DecisionTree
1.8494800863599151e-06,4.731501253568182e-05,0.0005041634486850651,0.0005173627491514784,0.0003573931857456426,4.6714874827923075e-05,-0.00011997920222457076,-4.826829950726255e-05,0.000643476269650564,career aspirations,DecisionTree
2.491056131183572e-05,0.00019877160745688285,-0.00012912136585171958,4.960539171274696e-05,4.050696786364968e-05,0.00011055483718141593,9.691289408388483e-05,7.010229812365349e-05,0.00010197432707215317,career aspirations,DecisionTree
0.0003389660102067427,-0.0007024618603597872,-0.00043573223246449864,0.0017848470574831849,-0.00044914741050628185,0.000461822733745325,0.0001942841346404053,-0.0017865820594612167,-0.003149168854335707,career aspirations,DecisionTree
0.00010274292353197518,0.00015050657107332712,-0.000143444232150348,0.00015499002529495328,0.0001254252265776265,0.00020706845272877193,0.0003243895287334571,0.00019561534132600902,0.0002574336818352714,career aspirations,DecisionTree
-4.457640053231338e-05,0.0018579976507940613,0.0006389750222767513,0.0019400435865256072,0.0006617774678796992,0.0002831229892911796,-0.001174562557356894,-0.00022115618744854802,0.0018258559475206348,career aspirations,DecisionTree
0.00017331140177886384,-0.013242282502008956,0.00113641926444822,-0.006793450080998433,-0.0019398503351101743,-0.0056772476437172495,-0.0004023554686887032,0.0039026283266010114,0.00035950455665459494,career aspirations,DecisionTree
