         1368402654 function calls (1274850096 primitive calls) in 738.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11340    0.028    0.000    0.190    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/ma/core.py:3071(__array_wrap__)
    40320    0.174    0.000    0.190    0.000 {built-in method matplotlib._path.cleanup_path}
    15120    0.021    0.000    0.188    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1810(transform_path_affine)
   107890    0.074    0.000    0.187    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:740(set_style)
     1890    0.004    0.000    0.186    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_axes.py:2273(_convert_dx)
   148325    0.045    0.000    0.185    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:2265(get_affine)
   170900    0.071    0.000    0.185    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/ticker.py:246(fix_minus)
   987105    0.127    0.000    0.185    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:31(__init__)
  1489182    0.183    0.000    0.183    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1049(get_points)
    73870    0.040    0.000    0.183    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1095(set_fontsize)
    73950    0.026    0.000    0.183    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/lines.py:1226(set_markerfacecolor)
   973350    0.138    0.000    0.182    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:127(_normalize_slice_key)
      105    0.005    0.000    0.178    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1848(_make_engine)
   234525    0.177    0.000    0.177    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/cbook.py:181(__init__)
     1890    0.019    0.000    0.177    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_axes.py:2316(<listcomp>)
  399/294    0.009    0.000    0.176    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/series.py:389(__init__)
    12234    0.009    0.000    0.174    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:476(_get_text1_transform)
   108155    0.085    0.000    0.174    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/path.py:162(_fast_from_codes_and_verts)
    48825    0.070    0.000    0.173    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:443(set_linestyle)
     5895    0.008    0.000    0.173    0.000 <frozen codecs>:319(decode)
    62800    0.025    0.000    0.173    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3269(round)
     1890    0.019    0.000    0.171    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/gridspec.py:648(get_position)
      947    0.002    0.000    0.171    0.000 <frozen posixpath>:412(realpath)
   222405    0.047    0.000    0.171    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:2762(_set_dpi)
     7770    0.012    0.000    0.170    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/arraysetops.py:138(unique)
    59330    0.048    0.000    0.169    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1843(frozen)
     1890    0.010    0.000    0.169    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:821(set_figure)
    14175    0.045    0.000    0.166    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:4336(get_children)
    61740    0.110    0.000    0.165    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/ma/core.py:2952(_update_from)
     5895    0.165    0.000    0.165    0.000 {built-in method _codecs.utf_8_decode}
    12234    0.024    0.000    0.165    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:1019(get_yaxis_text1_transform)
     1890    0.022    0.000    0.164    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:156(_get_draw_artists)
  1863605    0.164    0.000    0.164    0.000 {method 'pop' of 'dict' objects}
    40530    0.149    0.000    0.163    0.000 {built-in method matplotlib._path.update_path_extents}
  2416900    0.163    0.000    0.163    0.000 {method 'values' of 'dict' objects}
    12234    0.008    0.000    0.160    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:479(_get_text2_transform)
   918577    0.160    0.000    0.160    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/enum.py:1095(__new__)
   107890    0.063    0.000    0.160    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:753(set_variant)
    26830    0.013    0.000    0.157    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/lines.py:731(_get_transformed_path)
   372920    0.126    0.000    0.155    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:449(get_transform)
    54810    0.076    0.000    0.154    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/_ufunc_config.py:33(seterr)
     7770    0.058    0.000    0.153    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
   239580    0.047    0.000    0.152    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/copy.py:264(<genexpr>)
    12234    0.018    0.000    0.152    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:1045(get_yaxis_text2_transform)
     4725    0.011    0.000    0.151    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:1972(get_width_height)
    58275    0.056    0.000    0.150    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:428(set_linewidth)
    13230    0.066    0.000    0.148    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/colors.py:416(to_rgba_array)
     5670    0.011    0.000    0.147    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/cbook.py:539(_get_data_path)
    20790    0.045    0.000    0.147    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/cbook.py:215(connect)
   141125    0.075    0.000    0.146    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:997(set_horizontalalignment)
     5670    0.008    0.000    0.145    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/ma/core.py:6870(__call__)
   187740    0.118    0.000    0.145    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/_weakrefset.py:53(_commit_removals)
    34020    0.018    0.000    0.145    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:2519(get_ticks_position)
    26830    0.026    0.000    0.144    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/lines.py:716(_transform_path)
     1050    0.003    0.000    0.141    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer.py:13(__init__)
    51190    0.052    0.000    0.140    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:2676(__init__)
   295900    0.140    0.000    0.140    0.000 {built-in method numpy.arange}
     1890    0.014    0.000    0.139    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:100(resize)
    52425    0.133    0.000    0.138    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:416(_broadcast_shape)
      945    0.006    0.000    0.137    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:1218(sharex)
    93240    0.038    0.000    0.135    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:554(_axis_map)
     5671    0.009    0.000    0.135    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/pathlib.py:868(__new__)
   192155    0.054    0.000    0.135    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/colors.py:401(<genexpr>)
      105    0.122    0.001    0.135    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:60(__init__)
   107320    0.039    0.000    0.134    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:2224(<lambda>)
    12288    0.024    0.000    0.134    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/pathlib.py:484(_parse_args)
     2772    0.012    0.000    0.130    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/construction.py:517(sanitize_array)
241920/82530    0.106    0.000    0.130    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:2407(<lambda>)
    17010    0.016    0.000    0.129    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/ma/core.py:3127(view)
     3780    0.006    0.000    0.129    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/ticker.py:2862(__init__)
     4725    0.010    0.000    0.128    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:327(max)
   214130    0.044    0.000    0.127    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/__init__.py:1303(_val_or_rc)
    80640    0.040    0.000    0.127    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:1090(set_label)
    34020    0.020    0.000    0.126    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:2236(_get_ticks_position)
     5672    0.010    0.000    0.126    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/pathlib.py:504(_from_parts)
    81510    0.021    0.000    0.125    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/lines.py:1216(set_markeredgecolor)
   784905    0.124    0.000    0.124    0.000 {method 'update' of 'dict' objects}
   291860    0.063    0.000    0.123    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:2133(transform)
    73870    0.053    0.000    0.123    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1214(set_rotation)
   198293    0.114    0.000    0.122    0.000 {built-in method builtins.min}
     1890    0.032    0.000    0.121    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/gridspec.py:144(get_grid_positions)
    20790    0.017    0.000    0.121    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:2334(blended_transform_factory)
    40320    0.044    0.000    0.121    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:729(_get_axis_name)
    51114    0.024    0.000    0.120    0.000 {method 'any' of 'numpy.ndarray' objects}
    37800    0.106    0.000    0.120    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/ticker.py:1925(scale_range)
     3780    0.007    0.000    0.120    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/ticker.py:1997(__init__)
     8820    0.034    0.000    0.117    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/ma/core.py:2808(__new__)
      946    0.004    0.000    0.116    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:1151(close)
    15750    0.009    0.000    0.116    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/ticker.py:1655(nonsingular)
    62800    0.114    0.000    0.114    0.000 {method 'round' of 'numpy.ndarray' objects}
   906570    0.114    0.000    0.114    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:839(<genexpr>)
    27405    0.020    0.000    0.114    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
   483505    0.108    0.000    0.113    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1262(set_text)
     3780    0.014    0.000    0.113    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/ticker.py:2057(set_params)
    58275    0.022    0.000    0.112    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/getlimits.py:612(tiny)
     1890    0.003    0.000    0.112    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:1183(_gen_axes_patch)
    18900    0.043    0.000    0.112    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1067(set)
     5670    0.007    0.000    0.112    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/collections.py:762(_set_facecolor)
    73950    0.056    0.000    0.112    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/lines.py:1408(set_dash_capstyle)
      945    0.004    0.000    0.109    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/_pylab_helpers.py:44(destroy)
    20790    0.017    0.000    0.109    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:719(_get_shared_axes)
      945    0.057    0.000    0.108    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:42(__init__)
     5670    0.027    0.000    0.108    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1729(set)
   257985    0.053    0.000    0.107    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:2318(get_matrix)
   218460    0.064    0.000    0.107    0.000 <string>:1(<lambda>)
    38745    0.016    0.000    0.107    0.000 {method 'sum' of 'numpy.ndarray' objects}
    26830    0.041    0.000    0.107    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:2739(__init__)
    81585    0.038    0.000    0.106    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:2431(transform_path_non_affine)
   187740    0.075    0.000    0.106    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/_weakrefset.py:72(__len__)
     2835    0.008    0.000    0.105    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:1290(__init__)
    38745    0.077    0.000    0.105    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/shape_base.py:81(atleast_2d)
    28720    0.013    0.000    0.104    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/markers.py:345(get_transform)
   195300    0.080    0.000    0.104    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:242(x0)
   260670    0.068    0.000    0.104    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:928(set_foreground)
    12288    0.050    0.000    0.104    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/pathlib.py:56(parse_parts)
    30240    0.058    0.000    0.103    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/shape_base.py:292(hstack)
     9450    0.067    0.000    0.103    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/cycler/__init__.py:416(by_key)
    56574    0.017    0.000    0.103    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/_methods.py:55(_any)
    38745    0.010    0.000    0.100    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1882(inverted)
    20790    0.022    0.000    0.099    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:789(frozen)
  1783540    0.099    0.000    0.099    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/copy.py:182(_deepcopy_atomic)
   121905    0.074    0.000    0.099    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/spines.py:565(__getitem__)
   115450    0.046    0.000    0.099    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:766(set_weight)
      947    0.010    0.000    0.098    0.000 <frozen posixpath>:421(_joinrealpath)
     1890    0.004    0.000    0.098    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:1071(_update_transScale)
    22050    0.033    0.000    0.098    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:3616(_validate_converted_limits)
    93240    0.055    0.000    0.097    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:557(<dictcomp>)
9450/7560    0.007    0.000    0.096    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:1076(get_position)
   124665    0.078    0.000    0.096    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/lines.py:33(_get_dash_pattern)
   107890    0.039    0.000    0.096    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:876(set_math_fontfamily)
   143600    0.068    0.000    0.095    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:683(_get_wrapped_text)
     1470    0.015    0.000    0.095    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/indexes/base.py:7593(ensure_index)
    49300    0.024    0.000    0.095    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1041(set_fontfamily)
    73950    0.020    0.000    0.095    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/lines.py:1236(set_markerfacecoloralt)
   105210    0.043    0.000    0.094    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/ma/core.py:587(filled)
     1890    0.012    0.000    0.093    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:875(_set_lim_and_transforms)
106160/98600    0.016    0.000    0.093    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/spines.py:202(_ensure_position_is_set)
     5166    0.048    0.000    0.092    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/numeric.py:274(full)
      945    0.035    0.000    0.092    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/histograms.py:678(histogram)
      945    0.003    0.000    0.092    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:167(destroy)
    13179    0.011    0.000    0.092    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/markers.py:762(_set_tickright)
10395/4725    0.010    0.000    0.091    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:522(head_slice)
    73950    0.051    0.000    0.091    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/lines.py:1070(set_drawstyle)
    56385    0.039    0.000    0.091    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:500(set_capstyle)
  1112550    0.091    0.000    0.091    0.000 {method 'startswith' of 'str' objects}
    58275    0.091    0.000    0.091    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/getlimits.py:589(smallest_normal)
    38745    0.012    0.000    0.091    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/_methods.py:47(_sum)
     5670    0.003    0.000    0.091    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1380(<genexpr>)
   102060    0.071    0.000    0.090    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:2252(<genexpr>)
    68040    0.025    0.000    0.090    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1881(nonzero)
    16695    0.090    0.000    0.090    0.000 {method 'sort' of 'numpy.ndarray' objects}
   107890    0.037    0.000    0.090    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:792(set_stretch)
    17010    0.031    0.000    0.089    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:2292(__init__)
    24570    0.048    0.000    0.089    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1068(_translate_tick_params)
       84    0.001    0.000    0.089    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/indexes/base.py:6162(get_indexer_for)
   158445    0.064    0.000    0.089    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:778(get_path)
   187740    0.069    0.000    0.089    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/_weakrefset.py:21(__enter__)
      945    0.084    0.000    0.088    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/linalg/linalg.py:492(inv)
     1890    0.001    0.000    0.088    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:273(clear)
   111250    0.039    0.000    0.088    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:948(set_joinstyle)
     1323    0.079    0.000    0.088    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:1157(maybe_infer_to_datetimelike)
    12416    0.015    0.000    0.088    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/markers.py:776(_set_tickdown)
     1890    0.087    0.000    0.087    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    30240    0.052    0.000    0.087    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/function_base.py:5563(append)
   111250    0.038    0.000    0.086    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:878(set_capstyle)
   198135    0.062    0.000    0.086    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:252(y0)
    67835    0.027    0.000    0.086    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:2232(transform_non_affine)
      945    0.085    0.000    0.085    0.000 {method 'close' of '_io.BufferedRandom' objects}
    85050    0.032    0.000    0.085    0.000 <frozen _collections_abc>:878(__iter__)
    12285    0.007    0.000    0.085    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/cbook.py:229(_connect_picklable)
    18900    0.023    0.000    0.085    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2593(ptp)
     3780    0.004    0.000    0.084    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:532(<listcomp>)
   946890    0.084    0.000    0.084    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/_explanation.py:176(data)
      483    0.008    0.000    0.083    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/indexes/base.py:475(__new__)
    73950    0.041    0.000    0.083    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/lines.py:1360(set_dash_joinstyle)
   362976    0.083    0.000    0.083    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/_api/__init__.py:152(<genexpr>)
     3780    0.013    0.000    0.083    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/collections.py:313(_prepare_points)
    12234    0.013    0.000    0.083    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/markers.py:756(_set_tickleft)
      105    0.002    0.000    0.083    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/construction.py:596(_homogenize)
    45255    0.037    0.000    0.082    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/cbook.py:1748(_safe_first_finite)
    88200    0.030    0.000    0.082    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:622(get_snap)
    18480    0.014    0.000    0.081    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:212(__init__)
    50236    0.081    0.000    0.081    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
    73950    0.041    0.000    0.081    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/lines.py:1424(set_solid_capstyle)
   942045    0.081    0.000    0.081    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:838(get_visible)
    70090    0.035    0.000    0.081    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1317(set_usetex)
     1890    0.010    0.000    0.081    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2015(_switch_canvas_and_return_print_method)
    11340    0.014    0.000    0.080    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/ma/core.py:1555(make_mask)
    73950    0.040    0.000    0.080    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/lines.py:1376(set_solid_joinstyle)
     5670    0.008    0.000    0.079    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/ma/core.py:8253(asanyarray)
   115030    0.048    0.000    0.079    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:856(set_alpha)
    27405    0.018    0.000    0.079    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/_ufunc_config.py:435(__exit__)
    37800    0.017    0.000    0.079    0.000 {method 'clip' of 'numpy.ndarray' objects}
   957871    0.078    0.000    0.078    0.000 {built-in method builtins.issubclass}
  1236060    0.078    0.000    0.078    0.000 {built-in method math.factorial}
    30240    0.022    0.000    0.078    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/linalg/linalg.py:215(_assert_finite)
     7560    0.012    0.000    0.078    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/spines.py:299(set_position)
   299785    0.077    0.000    0.077    0.000 {method 'tolist' of 'numpy.ndarray' objects}
