         1368402654 function calls (1274850096 primitive calls) in 738.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      945    0.007    0.000   14.793    0.016 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:3514(new_figure_manager)
      945    0.001    0.000   14.490    0.015 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:3523(new_figure_manager_given_figure)
      945    0.002    0.000   14.489    0.015 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:1800(new_manager)
      945    0.152    0.000   14.486    0.015 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2687(create_with_canvas)
    38430    0.167    0.000   14.247    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:2378(add_patch)
      945    5.297    0.006   14.225    0.015 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:150(__init__)
    28350    0.039    0.000   13.570    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1641(get_major_ticks)
     1890    0.002    0.000   12.928    0.007 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:1383(clear)
     1890    0.065    0.000   12.925    0.007 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:1256(__clear)
    24650    0.465    0.000   12.491    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:65(__init__)
    38430    0.495    0.000   11.689    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:2391(_update_patch_limits)
   108840    0.494    0.000   11.423    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:915(get_window_extent)
 2835/945    0.009    0.000   11.078    0.012 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:446(wrapper)
      945    0.008    0.000   11.076    0.012 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:1734(get_tightbbox)
     1890    0.026    0.000   11.000    0.006 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:4391(get_tightbbox)
   112990    1.573    0.000   10.938    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:358(_get_layout)
    17010    0.016    0.000   10.429    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1346(_get_ticklabel_bboxes)
    17010    0.069    0.000   10.382    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1350(<listcomp>)
    12416    0.078    0.000    9.232    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:397(__init__)
   727300    1.905    0.000    9.121    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:1173(_update_props)
      945    0.005    0.000    8.941    0.009 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:4501(twinx)
    97650    0.153    0.000    8.811    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:623(draw)
1511490/1205720    0.489    0.000    8.588    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:292(wrapper)
    24570    0.099    0.000    8.582    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:969(set_tick_params)
   200970    0.198    0.000    8.572    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:306(get_transform)
    26830    0.083    0.000    8.454    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:272(draw)
      945    0.005    0.000    8.308    0.009 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:4479(_make_twin_axes)
   662880    0.191    0.000    8.304    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:1209(_internal_update)
    12234    0.071    0.000    8.004    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:454(__init__)
      945    0.005    0.000    8.004    0.008 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:727(subplots)
