Model_Target,MSE,MAE,R2
LinearRegression_ethnoracial group,1.368548575435745,0.9200830581970669,0.00023462755624148457
DecisionTree_ethnoracial group,2.6517700820866494,1.06687297979798,-0.9371967874128628
RandomForest_ethnoracial group,1.5666223949878681,0.9738829698756685,-0.144464179289423
LinearRegression_gender,0.31033011113726977,0.5085246999883175,-0.004629689664194858
DecisionTree_gender,0.6918158868514692,0.568255303030303,-1.2396111584702796
RandomForest_gender,0.34856952772024313,0.5094539226482668,-0.12842190909758222
LinearRegression_international status,0.04343060607323009,0.0866261808906323,-1.97116775961792e-05
DecisionTree_international status,0.084583447798694,0.08557575757575757,-0.9475923255071463
RandomForest_international status,0.05114316960956138,0.0949001629995983,-0.17760681582466775
LinearRegression_career aspirations,0.0004229396730737041,0.01513713481306939,-8.351130139083729e-05
DecisionTree_career aspirations,0.0008482059325039757,0.021890175131580612,-1.0056684706838097
RandomForest_career aspirations,0.0004820000051194023,0.015965714749198615,-0.13973762277698865
LinearRegression_future topics,0.0004951539300108955,0.008223114119649556,0.0008426516924492367
DecisionTree_future topics,0.0009225144135573687,0.012655605470486102,-0.8615161858963611
RandomForest_future topics,0.0005668920531670385,0.009512675010770548,-0.14391571244630486
LinearRegression_private_columns,0.5741030975487486,0.5050779796920061,-0.001471591261850665
DecisionTree_private_columns,1.1529031729649186,0.5697228114478115,-1.0038043313351055
RandomForest_private_columns,0.6356387927427397,0.5156789547103213,-0.11280824161698118
LinearRegression_utility_colums,0.00045904680154230026,0.011680124466359482,0.00037957019552808946
DecisionTree_utility_colums,0.000865336436187388,0.017096703165735496,-0.8950671728879979
RandomForest_utility_colums,0.0005262292275311373,0.012756086817020423,-0.1423554639076492
LinearRegression_all_columns,0.34464547724986605,0.3077188376017474,-0.0007311266788991633
DecisionTree_all_columns,0.702382086354171,0.35209848873109173,-0.9481078795745859
RandomForest_all_columns,0.3851850650420983,0.3174575883926172,-0.11702624938598945
