Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8
0.03869909835482931,0.38761394563673224,0.03741724048222181,0.3864017291896523,-0.11108125544728578,0.12593404284791784,0.021196962575798062,-0.20355869124439507,0.6112241078830901
-0.20773026645241718,-0.09061216249567978,-0.16623413248847896,0.07773756801645162,-0.028414858032856684,0.438191722841481,0.00956029144305574,0.027719870129463146,-0.13268605777662612
-0.07790247499976435,-0.03279739962430534,0.2892579926882799,-1.2444426391364976,-0.11435348716268896,-0.09204908668213407,0.013220230952506181,-0.11901618569834485,0.037254746290130314
-0.09791086145420849,-0.02440973698475712,0.08405683853059631,-1.3230342158546617,-0.11114142542142864,0.04816889062868302,0.029090531219423444,0.048266789158850236,-0.13528517129326426
0.010320622702799693,-0.05170745723592851,-0.05523534978289922,0.0792928145948125,-0.05451566849219655,0.778918431510506,-0.003437129029433933,0.05086939247897883,0.21746891458564205
-0.01984150797316013,-0.4968961154954944,0.05883868777596101,-0.08989580854916271,0.06678597551353568,-0.03962604482892501,-0.12531913809760645,0.29157710342210175,-0.24161781532585577
-0.19603387594861885,-0.09543154445965193,-0.021314013886542162,0.22160295206179342,-0.05325825051196703,0.615870175631209,-0.013538638468966979,0.09300679020410105,0.09761575388290407
-0.05074403744063604,-0.011084292549351137,0.015059100784374713,-0.12307622870224967,-0.15788609041142743,-0.018849869393487585,-0.017339721028211585,0.4364363184609119,-0.1491121107537692
-0.0559152435165907,-0.11111584648838692,-0.05052074374164129,-0.30451941597302695,-0.06159948382256382,0.5082903171340727,0.009398601411660115,-0.2642439628430447,0.04061339307848254
-0.015699139184945716,-0.32350465180878873,-0.02170276601270824,-0.014018449981594124,0.04985307541743731,-0.5124441486061047,0.020065651517659464,0.21367505517386617,-0.3057717001103767
0.2969542607162123,-0.020435269810537286,1.060516209333844,0.34126015665983434,-0.13563661581090017,1.2991607072982947,0.03546529865350747,0.004102426926598031,-0.04845646593231598
-0.008457487166281,0.12095953652688127,-0.017638755323861496,0.054529290414463596,-0.06810313919283839,-0.1185267639516991,0.17268058447097548,0.1584746268953729,-0.023854297627819175
-0.04907596104892082,0.21641647458077268,-0.021088675123464923,-0.2915802368932573,-0.019807467916711025,0.007147688392813617,-0.07751933045683079,-0.17724181903786845,0.46228613748981107
-0.024653033388960858,0.06613285339808965,-0.0979840810350047,0.15792019911679528,-0.4430719463294139,0.34037125935796336,0.018685499111946145,-0.002078352201063315,0.07795241276908901
-0.09613503356658513,-0.054746195569495754,-0.02024123114204487,0.23696328128101893,-0.036586102145317656,-0.098077011740286,0.00015755479200635448,-0.1287627604941625,0.9083354765128568
-0.3403143142145187,-0.12977781226879542,0.6837254443991342,0.2726081141722585,-0.0309221026011074,1.0537287341112445,-0.1399932528994509,0.09140413505492546,-0.060283650037085065
-0.02813367002249267,-0.0945354605971154,-0.2370495168896214,0.03521648960037537,-0.04700927609867259,-0.47693145261667846,-0.04988780862344945,-0.07478394605114788,-0.24889269395706598
-0.2692275158021639,-0.05603611931336107,0.5014186482118665,0.16161639239413847,-0.06246784190728257,1.5457468800628211,-0.0027185259893262744,-0.2589390709272838,-0.15921755101280188
-0.23888280956557068,-0.09136098956523508,0.04431465283088022,0.22908435787533996,-0.018631728253671084,0.5356477092130559,-0.008023834987927293,-0.05776216456828441,-0.05845318969045503
0.11699058980812319,0.11830046635008237,0.026446993319082526,0.05869027203897861,0.012963846823627011,-0.2623357462914985,0.19279665881852792,0.02099770081484893,0.15430326089962954
