         39365548 function calls (39331711 primitive calls) in 172.578 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    19583    0.024    0.000    1.074    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/shape_util.py:23(shape_tensor)
     1666    0.649    0.000    1.041    0.001 {method 'sort' of 'list' objects}
    28410    0.015    0.000    0.960    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:177(constant)
    28410    0.032    0.000    0.945    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:280(_constant_impl)
     1529    0.736    0.000    0.919    0.001 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:168(filter_course_by_major)
    28410    0.013    0.000    0.892    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:297(_constant_eager_impl)
    28410    0.839    0.000    0.879    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:75(convert_to_eager_tensor)
      100    0.003    0.000    0.828    0.008 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:638(generate_future_topics)
      100    0.002    0.000    0.821    0.008 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:409(choose_major)
     1529    0.685    0.000    0.756    0.000 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:150(filter_course_by_learning_style)
     1868    0.604    0.000    0.738    0.000 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:312(<listcomp>)
      505    0.002    0.000    0.581    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/random_ops.py:394(categorical)
      505    0.002    0.000    0.578    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/random_ops.py:424(multinomial_categorical_impl)
      190    0.001    0.000    0.572    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/override_binary_operator.py:105(binary_op_wrapper)
      505    0.001    0.000    0.565    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/gen_random_ops.py:28(multinomial)
    23623    0.012    0.000    0.437    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/array_ops.py:1292(_autopacking_conversion_function)
     2354    0.005    0.000    0.394    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/collections/__init__.py:587(__init__)
  3645403    0.392    0.000    0.392    0.000 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:297(<lambda>)
     2354    0.003    0.000    0.389    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/collections/__init__.py:660(update)
     2354    0.382    0.000    0.382    0.000 {built-in method _collections._count_elements}
      100    0.000    0.000    0.320    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/tensor_math_operator_overrides.py:148(wrapper)
      100    0.000    0.000    0.320    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/gen_math_ops.py:5278(less)
