         123270638918 function calls (121949207503 primitive calls) in 58061.602 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
540327274  755.681    0.000 5217.453    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:2564(__call__)
 12408264  248.717    0.000 5204.419    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/path.py:607(get_extents)
 31017400  183.083    0.000 5047.601    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:556(update_bbox_position_size)
521716938  268.702    0.000 4385.695    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:172(<genexpr>)
 31017160  291.365    0.000 4205.084    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:26(_get_textbox)
307101610  334.557    0.000 3784.967    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:65(_get_text_metrics_with_cache)
       40   10.937    0.273 3773.482   94.337 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_export.py:671(<listcomp>)
 18610536  137.122    0.000 3732.133    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1910(update_positions)
 24826926  132.868    0.000 3580.437    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:915(get_window_extent)
 21714752   82.857    0.000 3563.819    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:186(draw_text)
632842125 1673.361    0.000 3345.600    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:208(__call__)
539790765  407.240    0.000 3192.171    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:226(point_at_t)
 93051360  466.956    0.000 3111.993    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:283(axis_aligned_extrema)
1557773849 1285.899    0.000 2788.642    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/_api/__init__.py:132(check_shape)
1557773849  944.518    0.000 2633.260    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/path.py:202(_update_values)
 22174378 2481.498    0.000 2481.498    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
479427182 2464.866    0.000 2464.866    0.000 {method 'reduce' of 'numpy.ufunc' objects}
521716938  287.678    0.000 2287.112    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/shape_base.py:791(split)
4413940925/4413441679 2006.051    0.000 2035.564    0.000 {built-in method numpy.asarray}
986910946 1358.368    0.000 1997.355    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:642(__hash__)
   222056    1.355    0.000 1990.627    0.009 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/_methods.py:101(_mean)
       80    0.368    0.005 1988.812   24.860 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3385(mean)
1626032239  511.761    0.000 1982.026    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/cbook.py:1390(_to_unmasked_float_array)
3678071149  954.133    0.000 1947.115    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/__init__.py:745(__getitem__)
521716978  985.661    0.000 1931.926    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/shape_base.py:731(array_split)
260858469  144.559    0.000 1899.973    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/path.py:502(contains_point)
1265684250 1539.848    0.000 1539.848    0.000 {method 'outer' of 'numpy.ufunc' objects}
6203432/40   29.553    0.000 1528.827   38.221 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_export.py:687(recurse)
328817239  103.647    0.000 1525.726    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:653(__eq__)
 62034320  358.609    0.000 1512.522    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/polynomial.py:172(roots)
1654544784/996910306  234.893    0.000 1456.878    0.000 {built-in method builtins.hash}
  6203512   13.801    0.000 1444.845    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_axes.py:749(annotate)
335493184  108.241    0.000 1419.620    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:903(copy)
  6203512   19.010    0.000 1349.064    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1634(__init__)
335615623  505.943    0.000 1311.459    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/copy.py:66(copy)
       40    0.148    0.004 1281.301   32.033 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/decision_tree_regression/decision_tree_regression.py:79(get_best_model)
392212808/342568520   75.732    0.000 1255.549    0.000 {built-in method builtins.next}
260858469  952.253    0.000 1119.589    0.000 {built-in method matplotlib._path.point_in_path}
    55494    0.207    0.000 1101.995    0.020 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/base.py:1456(wrapper)
    55494    1.244    0.000 1092.264    0.020 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_classes.py:1347(fit)
    55494  861.633    0.016 1091.019    0.020 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_classes.py:231(_fit)
272950888  307.290    0.000 1064.620    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/path.py:347(iter_segments)
  6211794    8.514    0.000 1019.114    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:104(__init__)
3678071150  729.217    0.000  992.983    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/__init__.py:694(_get)
 18610296   91.320    0.000  989.554    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:3248(__call__)
105458224  126.339    0.000  921.379    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/path.py:413(iter_bezier)
 31017160  213.748    0.000  915.805    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:247(polynomial_coefficients)
310492605  249.816    0.000  893.520    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:306(get_transform)
356756352  102.880    0.000  871.875    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1792(transform)
387867826/387842954  117.532    0.000  820.571    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:292(wrapper)
1180068938  385.174    0.000  819.070    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
1043433956  260.544    0.000  809.263    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/fromnumeric.py:537(swapaxes)
 24815208  167.312    0.000  794.796    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:574(_draw_paths_with_artist_properties)
139142634  477.464    0.000  786.602    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:199(__init__)
  6212274   10.758    0.000  735.937    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:194(update)
 12408344   26.616    0.000  729.725    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:623(draw)
 43485810  140.068    0.000  706.039    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:1173(_update_props)
 62034320   34.048    0.000  679.263    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/function_base.py:2367(__call__)
362961344  197.597    0.000  676.901    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1859(transform_affine)
459430102  288.431    0.000  665.123    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1899(__init__)
 62034320   43.953    0.000  645.215    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/function_base.py:2337(_call_as_normal)
 22174378   33.090    0.000  644.718    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:249(_prepare_font)
 12408104   44.560    0.000  643.545    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:48(__init__)
11523193530/11437122841  602.183    0.000  636.941    0.000 {built-in method builtins.len}
260865231  176.902    0.000  635.843    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1843(frozen)
4673321547  619.879    0.000  619.879    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/_api/__init__.py:152(<genexpr>)
 62034320  133.489    0.000  601.262    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/function_base.py:2443(_vectorize_call)
  6203432   16.318    0.000  581.131    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:509(set_bbox)
 24822144   21.782    0.000  576.865    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:1226(_cm_set)
 37220512  222.747    0.000  573.318    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/linalg/linalg.py:994(eigvals)
4024526681/4024523641  371.425    0.000  547.905    0.000 {built-in method builtins.isinstance}
 24855469   13.694    0.000  541.590    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:147(<lambda>)
282275917  236.822    0.000  541.099    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1279(_preprocess_math)
 24855469   20.273    0.000  527.897    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:1220(set)
 68257638   37.752    0.000  500.014    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:805(from_bounds)
335511433  274.279    0.000  497.414    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/copy.py:259(_reconstruct)
 31070104   12.461    0.000  494.587    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:1209(_internal_update)
161309605  274.542    0.000  491.204    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1985(rotate)
 18610296  188.479    0.000  473.791    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:3415(transmute)
 22174378   41.664    0.000  471.430    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:1305(_find_fonts_by_props)
 37220832  175.578    0.000  470.766    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1467(_get_xy_transform)
 68262398   70.308    0.000  462.311    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:814(from_extents)
81006558/68595486   27.875    0.000  443.221    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/contextlib.py:132(__enter__)
  6203472    9.587    0.000  437.963    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:3889(__init__)
801013802  306.885    0.000  432.580    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:1779(__init__)
