         9388876558 function calls (8942252491 primitive calls) in 4283.773 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 72000080   17.358    0.000  230.861    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:33(parse)
      320    2.861    0.009  223.162    0.697 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/plots/_violin.py:17(violin)
 73055200   40.799    0.000  217.458    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:212(__init__)
 72000080  209.913    0.000  209.921    0.000 {built-in method builtins.compile}
323514340  111.135    0.000  209.085    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:607(_type_name)
     4240    0.099    0.000  207.312    0.049 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/image.py:1550(imsave)
     4240    0.069    0.000  207.034    0.049 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/Image.py:2376(save)
 37577420   20.410    0.000  204.984    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:545(tail_slice)
     4240    0.086    0.000  203.801    0.048 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/PngImagePlugin.py:1233(_save)
     4240    0.030    0.000  203.569    0.048 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/ImageFile.py:517(_save)
     4240    0.033    0.000  203.528    0.048 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/ImageFile.py:545(_encode_tile)
     5011  202.959    0.041  202.959    0.041 {method 'encode' of 'ImagingEncoder' objects}
112006180   96.621    0.000  190.170    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:142(_handle_newaxis_ellipses)
165083940   36.513    0.000  187.033    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:31(__init__)
 64167560   21.646    0.000  183.062    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:241(__init__)
    32960    0.297    0.000  181.419    0.006 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1414(draw)
112006180   63.153    0.000  180.818    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:91(_normalize_subkey_types)
168509040   58.137    0.000  172.780    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:611(_safe_isinstance)
165698/162818    0.438    0.000  164.958    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/__init__.py:1470(inner)
212529627/212348027   61.454    0.000  158.134    0.000 {built-in method builtins.getattr}
     8560    0.046    0.000  157.561    0.018 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:380(draw)
105677560/73055200   34.121    0.000  150.520    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:592(max_dim)
       80    2.279    0.028  138.954    1.737 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/classification/logistic_regression/logistic_regression.py:388(load_shap_values)
       80    0.006    0.000  133.682    1.671 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/npyio.py:282(load)
       80    0.002    0.000  133.651    1.671 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/format.py:738(read_array)
       80  125.212    1.565  133.622    1.670 {built-in method _pickle.load}
1680054251/1680049911  100.094    0.000  121.606    0.000 {built-in method builtins.isinstance}
 97987880   43.097    0.000  116.277    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer.py:242(_update_max_dim)
     2880    1.288    0.000  110.338    0.038 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/scipy/stats/_kde.py:237(evaluate)
      160    0.004    0.000  110.164    0.689 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/format.py:666(write_array)
      160  110.146    0.688  110.146    0.688 {built-in method _pickle.dump}
     5760  108.923    0.019  109.022    0.019 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/scipy/linalg/_basic.py:264(solve_triangular)
 11130240   12.613    0.000  103.441    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:422(tail_slice)
     7120    0.067    0.000  101.883    0.014 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:865(figure)
     4240    0.020    0.000  101.701    0.024 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:542(new_figure_manager)
     4240    0.039    0.000  101.532    0.024 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:3514(new_figure_manager)
125416300   73.955    0.000  100.882    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer.py:125(__getattr__)
     2880    0.600    0.000  100.305    0.035 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/plots/_scatter.py:16(scatter)
     4240    0.007    0.000  100.175    0.024 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:3523(new_figure_manager_given_figure)
     4240    0.010    0.000  100.168    0.024 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:1800(new_manager)
     4240    0.140    0.000  100.153    0.024 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2687(create_with_canvas)
     4240   39.402    0.009   99.544    0.023 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:150(__init__)
   129920    2.308    0.000   98.951    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1294(_update_ticks)
323514340   83.022    0.000   97.950    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:621(_handle_module_aliases)
   315716    0.359    0.000   95.614    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/collections.py:1002(draw)
   317876    4.236    0.000   92.018    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/collections.py:349(draw)
     2880    0.013    0.000   90.965    0.032 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:1548(subplots)
144000780/72000080   69.368    0.000   81.745    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:84(_convert)
   140578    0.212    0.000   79.391    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:3217(fill_between)
   140578    0.397    0.000   77.349    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_axes.py:5646(fill_between)
51903280/36324640   49.452    0.000   77.131    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/_explanation.py:767(_compute_shape)
   140578    2.904    0.000   76.952    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_axes.py:5450(_fill_between_x_or_y)
   109580    0.207    0.000   75.484    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1590(_get_tick)
 16533840   10.488    0.000   72.091    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:550(<listcomp>)
     8160    0.062    0.000   71.017    0.009 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:586(add_subplot)
     8160    0.253    0.000   70.809    0.009 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:564(__init__)
  8887640    5.665    0.000   62.598    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:247(__init__)
27840/22400    0.242    0.000   61.055    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:3006(set_size_inches)
     5440   60.117    0.011   60.549    0.011 {method 'resize' of 'matplotlib.backends._macosx.FigureManager' objects}
     2880    0.166    0.000   60.175    0.021 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_axes.py:6701(hist)
