learning style_0,gpa_0,student semester_0,major_0,previous courses_0,course types_0,course subjects_0,subjects of interest_0,extracurricular activities_0,learning style_1,gpa_1,student semester_1,major_1,previous courses_1,course types_1,course subjects_1,subjects of interest_1,extracurricular activities_1,target,model
-0.0002661748702146912,4.8962893334111515e-05,0.0002845646238474013,-3.5157002909865466e-05,-5.890076389256951e-05,0.000705480404280555,-9.32439673793651e-05,9.195911684430582e-05,-1.9022218458216186e-05,-6.87858993710107e-06,3.1513099221114467e-06,-4.686751724152405e-06,0.00022696460350083084,-0.00010807577814903757,7.064816835006493e-05,-0.00012165394797311972,1.8828208582325792e-05,1.5616393482352854e-06,utility_colums,LinearRegression
4.117450732974154e-05,-7.574054638759267e-06,-0.00022623168533838405,2.7950164402763198e-05,-0.00011420664548183667,0.0013679033190979774,3.1155245848276786e-06,-3.0725943712995477e-06,-1.0845568094852575e-05,-3.92184622015918e-06,4.4667619714644426e-05,-6.643143609662083e-05,-0.0005726460137005249,0.00027268200670948274,5.718848119816474e-05,-9.84767854400697e-05,-0.00014325086130100262,-1.1881437402719025e-05,utility_colums,LinearRegression
0.00033852101707743484,-6.227097410491213e-05,-0.00041522631973712446,5.129981630843578e-05,0.0001623227624644991,-0.0019442112549891352,-0.0001472074861757214,0.00014517904806124167,0.00022403096740347344,8.101143204540085e-05,-6.115706363506346e-06,9.095518388229014e-06,8.498279098135705e-06,-4.0467020508568214e-06,-1.7199834842566137e-05,2.961758049714348e-05,-0.0012148832004749027,-0.00010076420181325972,utility_colums,LinearRegression
-0.0002661748702146912,4.8962893334111515e-05,-4.234501403150114e-05,5.231584170216859e-06,0.00018997570325913267,-0.0022754227123978465,0.00017095641820679254,-0.0001686007328838895,-0.00021945399817751272,-7.935636249979187e-05,-0.00018193911656362957,0.0002705869905915272,0.0006853622202025134,-0.00032635509731396295,7.0678343459904e-05,-0.00012170590857348876,0.00017061831766762773,1.4151334537986193e-05,utility_colums,LinearRegression
-0.0001280091323236584,2.3547292374746182e-05,-2.702112475592768e-05,3.338369150838011e-06,2.4058058491331213e-05,-0.0002881539679455788,-0.00011727714141122879,0.00011566112696946461,-1.652826504290227e-05,-5.976755963116426e-06,5.635896006772788e-06,-8.381925605459976e-06,0.00014567381673661226,-6.936681252013832e-05,7.080222022661e-05,-0.00012191922051184303,-8.118145386633009e-05,-6.733309340093806e-06,utility_colums,LinearRegression
0.00033852101707743484,-6.227097410491213e-05,-7.810075567450626e-05,9.649085882100883e-06,5.171099928596479e-05,-0.0006193654253542901,-0.0001321656773966896,0.00013034450712592322,0.00019879336762527124,7.188530933514756e-05,1.324927475061598e-05,-1.9704841102906392e-05,0.00011075787422484625,-5.274057389719658e-05,-5.6700324152840674e-05,9.763619419501003e-05,-0.00027273073786056063,-2.2620689050369727e-05,utility_colums,LinearRegression
-0.0002661748702146912,4.8962893334111515e-05,-8.831668185822197e-05,1.0911229228353458e-05,0.0001623227624644991,-0.0019442112549891352,-7.626742845808959e-06,7.521650528293887e-06,-3.183455368388406e-05,-1.1511635254482476e-05,-0.0001054138651560769,0.00015677563504727874,-2.195353962231941e-05,1.0453814564962387e-05,7.032450059294841e-05,-0.00012109660216494925,0.00032328899510788853,2.6814065363915758e-05,utility_colums,LinearRegression
4.117450732974154e-05,-7.574054638759267e-06,0.00015175758345909726,-1.874913940858203e-05,0.00018997570325913267,-0.0022754227123978465,0.00011748361183860228,-0.00011586475234802111,4.62028378423658e-05,1.6707324445153738e-05,-6.69092156048572e-05,9.951000991601595e-05,7.04369416255831e-06,-3.354059249417437e-06,7.071455359170943e-05,-0.00012176826129392919,-8.388238998647407e-05,-6.957328959583584e-06,utility_colums,LinearRegression
-0.0001280091323236584,2.3547292374746182e-05,-0.00011385649731751115,1.406658759398488e-05,2.4058058491331213e-05,-0.0002881539679455788,4.5532572761780994e-05,-4.4905158977063086e-05,9.641235954591114e-05,3.486349857885423e-05,-1.5383823281392776e-06,2.2879425404091905e-06,-0.0001899563503309786,9.045322512722364e-05,7.06993072204233e-05,-0.00012174200751690228,0.000313144031586443,2.5972627148897645e-05,utility_colums,LinearRegression
-0.0002661748702146912,4.8962893334111515e-05,0.00020794517746953358,-2.5690927812971173e-05,-0.00014185958627647023,0.0016991147765066886,3.1155245848276786e-06,-3.0725943712995477e-06,-0.00017886788616866805,-6.46800921024496e-05,3.972668366085787e-05,-5.9083082192573436e-05,0.0001769506728836961,-8.426019463352686e-05,7.060846425816941e-05,-0.00012158557876210429,1.5669218968123783e-05,1.299628097370171e-06,utility_colums,LinearRegression
-0.0001280091323236584,2.3547292374746182e-05,5.470628471379805e-05,-6.7587776191825845e-06,-8.655370468720309e-05,0.0010366918616892661,3.1155245848276786e-06,-3.0725943712995477e-06,9.185424549497188e-05,3.321524721890796e-05,1.9084930710266823e-05,-2.8383857545734895e-05,-0.00018529280058337627,8.823254066746812e-05,7.071963571547265e-05,-0.00012177701255294018,0.00034651612436915457,2.8740557671579562e-05,utility_colums,LinearRegression
3.9462304733910465e-05,-7.259094804277346e-06,-6.589272388496246e-06,8.140824583328622e-07,2.4058058491331213e-05,-0.0002881539679455788,9.090922278708618e-05,-8.96565437471158e-05,-0.00012274789277412295,-4.438664301385701e-05,1.801944953426372e-05,-2.679923214800866e-05,-0.00017207667627168886,8.193929979612316e-05,7.070883620247625e-05,-0.00012175841612754259,3.755654175926452e-05,3.114994883260652e-06,utility_colums,LinearRegression
