         3241470150 function calls (3100549618 primitive calls) in 2764.390 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  8467617   23.156    0.000   64.683    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/construction.py:517(sanitize_array)
  7519178    2.928    0.000   53.860    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/generic.py:511(_validate_dtype)
  7519346   17.935    0.000   50.935    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1596(pandas_dtype)
   941950    0.960    0.000   49.901    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/base.py:891(_map_values)
   941950   20.579    0.000   48.522    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/algorithms.py:1667(map_array)
      420    0.002    0.000   46.985    0.112 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:1218(savefig)
      420    0.020    0.000   46.980    0.112 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:3232(savefig)
      420    0.016    0.000   46.958    0.112 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2077(print_figure)
      210    2.025    0.010   46.523    0.222 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/alt_classification/decision_tree_alternate/decision_tree_alternate.py:64(split_data)
   939934    1.248    0.000   46.400    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/frame.py:1111(_values)
   282018    0.148    0.000   44.730    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/frame.py:12590(values)
   282018    4.372    0.000   44.582    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/managers.py:1633(as_array)
   282018   10.698    0.000   40.020    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/managers.py:1707(_interleave)
  8461044    9.806    0.000   36.842    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/managers.py:1863(from_array)
      630    0.002    0.000   33.958    0.054 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2068(<lambda>)
      630    0.001    0.000   33.956    0.054 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:449(print_png)
      630    0.013    0.000   33.955    0.054 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:439(_print_pil)
      105    0.005    0.000   32.689    0.311 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/alt_classification/decision_tree_alternate/decision_tree_alternate.py:192(plotter)
  8473959    7.726    0.000   31.861    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/generic.py:6301(__setattr__)
3164671/3080077    1.610    0.000   30.220    0.000 {built-in method builtins.any}
  7518884    7.755    0.000   26.278    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/managers.py:287(get_dtypes)
      630    0.002    0.000   25.169    0.040 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:93(draw_wrapper)
71319/630    0.107    0.000   25.167    0.040 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
