Model_Target,MSE,MAE,R2
LinearRegression_ethnoracial group,1.5269395249094235,0.9801528207894896,0.00015408513039061322
DecisionTree_ethnoracial group,3.1848804763796936,1.2615141206040186,-1.085472071230265
RandomForest_ethnoracial group,1.729410782406156,1.0557714304799017,-0.13242487846584572
LinearRegression_gender,0.350966648096644,0.550796992888674,-0.00027563089996562873
DecisionTree_gender,0.7161690880311683,0.5993952111054685,-1.0411241075082653
RandomForest_gender,0.39312080964323115,0.5515838479452286,-0.12041747561582183
LinearRegression_international status,0.05467341086842812,0.10974911237765009,0.0003261074960939636
DecisionTree_international status,0.12265734246481202,0.12398302381835885,-1.2427234927973054
RandomForest_international status,0.06311432018141964,0.12194059967591037,-0.1540113763952473
LinearRegression_career aspirations,0.0007117871006025218,0.019120955346310576,0.009822035139919083
DecisionTree_career aspirations,0.0014647999347744637,0.027915024309937215,-1.037705680693561
RandomForest_career aspirations,0.0007780835581284339,0.020318097690207815,-0.0824039848804945
LinearRegression_future topics,0.0011643136572090187,0.015249176995996159,3.6867077775171175e-05
DecisionTree_future topics,0.0020824729082638306,0.023753367138493457,-0.7885181717827461
RandomForest_future topics,0.0013229212328906461,0.017974323597242076,-0.13618220696794547
LinearRegression_private_columns,0.6441931946248339,0.5468996420186071,6.818724217168744e-05
DecisionTree_private_columns,1.3179615572748995,0.6537230313382842,-1.039361123041813
RandomForest_private_columns,0.726996285907798,0.5735617391769717,-0.11886399214326615
LinearRegression_utility_colums,0.0009380503789057713,0.01718506617115348,0.00492945110884524
DecisionTree_utility_colums,0.0017949044912948307,0.025819599282169883,-0.92543707112176
RandomForest_utility_colums,0.0010582543563359807,0.019163860142068147,-0.11551882156602722
LinearRegression_all_columns,0.38689113692646265,0.33501381167962563,0.0020126927888411083
DecisionTree_all_columns,0.7893523076419928,0.40294008700836087,-0.9686705212519288
RandomForest_all_columns,0.4359313696136032,0.3508820168843391,-0.10927967325866392
